arm,ref_lookback,min_ext,max_ext,volume_mult,horizon,look_id,total_entries,trades_per_up_week,n,mean,se,eligible
L,48,0.005,0.03,1.5,24h,L|48-0.005-0.03-1.5|24h,3463,88.8491142333537,3463,0.0032142385622694436,0.002041570586051608,True
L,48,0.005,0.03,1.5,48h,L|48-0.005-0.03-1.5|48h,2667,68.42638973732437,2667,0.008684009685492,0.005323723586249015,True
L,48,0.005,0.03,1.5,96h,L|48-0.005-0.03-1.5|96h,1993,51.133781307269395,1986,0.007174216138185573,0.01016488209818578,True
L,48,0.005,0.03,2.0,24h,L|48-0.005-0.03-2.0|24h,3170,81.3317043372022,3170,0.00389671901091913,0.0021635151342920987,True
L,48,0.005,0.03,2.0,48h,L|48-0.005-0.03-2.0|48h,2491,63.910812461820406,2491,0.010028007192615686,0.0058097909349055605,True
L,48,0.005,0.03,2.0,96h,L|48-0.005-0.03-2.0|96h,1898,48.696395846059865,1891,0.009212991559851681,0.009991500196314796,True
L,48,0.005,0.03,3.0,24h,L|48-0.005-0.03-3.0|24h,2629,67.45143555284056,2629,0.004103798641391692,0.002513441061283873,True
L,48,0.005,0.03,3.0,48h,L|48-0.005-0.03-3.0|48h,2135,54.77703115455101,2135,0.01017880334114871,0.006094218257689199,True
L,48,0.005,0.03,3.0,96h,L|48-0.005-0.03-3.0|96h,1704,43.718998167379354,1698,0.00860937783228732,0.010358874142908262,True
L,48,0.005,0.04,1.5,24h,L|48-0.005-0.04-1.5|24h,3492,89.59315821624924,3492,0.003309876323723705,0.001942880545354742,True
L,48,0.005,0.04,1.5,48h,L|48-0.005-0.04-1.5|48h,2683,68.83689676237019,2683,0.008597264276766811,0.005268794503687899,True
L,48,0.005,0.04,1.5,96h,L|48-0.005-0.04-1.5|96h,2004,51.4160048869884,1997,0.007213907916053139,0.010093525530619433,True
L,48,0.005,0.04,2.0,24h,L|48-0.005-0.04-2.0|24h,3204,82.20403176542456,3204,0.003962493564127663,0.0020331886110645007,True
L,48,0.005,0.04,2.0,48h,L|48-0.005-0.04-2.0|48h,2512,64.44960293219305,2512,0.009898525210257554,0.005660847314895159,True
L,48,0.005,0.04,2.0,96h,L|48-0.005-0.04-2.0|96h,1910,49.00427611484423,1903,0.008849275077425589,0.009823856966929972,True
L,48,0.005,0.04,3.0,24h,L|48-0.005-0.04-3.0|24h,2675,68.63164324984729,2675,0.004701813372165003,0.0024261775270419785,True
L,48,0.005,0.04,3.0,48h,L|48-0.005-0.04-3.0|48h,2165,55.546731826511916,2165,0.010581021820231561,0.006078286881153979,True
L,48,0.005,0.04,3.0,96h,L|48-0.005-0.04-3.0|96h,1719,44.103848503359806,1713,0.00876535357008504,0.010217626189421266,True
L,48,0.005,0.06,1.5,24h,L|48-0.005-0.06-1.5|24h,3508,90.00366524129505,3508,0.003480206107799447,0.0018945658368010408,True
L,48,0.005,0.06,1.5,48h,L|48-0.005-0.06-1.5|48h,2694,69.11912034208919,2694,0.008388704871218467,0.005205561883258608,True
L,48,0.005,0.06,1.5,96h,L|48-0.005-0.06-1.5|96h,2008,51.51863164324985,2000,0.0074876022581639255,0.010004633946943836,True
L,48,0.005,0.06,2.0,24h,L|48-0.005-0.06-2.0|24h,3221,82.64019547953573,3221,0.00415216078028791,0.001965591333472111,True
L,48,0.005,0.06,2.0,48h,L|48-0.005-0.06-2.0|48h,2523,64.73182651191203,2523,0.009696253732521315,0.005581565578144989,True
L,48,0.005,0.06,2.0,96h,L|48-0.005-0.06-2.0|96h,1914,49.10690287110568,1906,0.009293719644532673,0.009729819513570472,True
L,48,0.005,0.06,3.0,24h,L|48-0.005-0.06-3.0|24h,2691,69.0421502748931,2691,0.0050654038360466,0.0023394816112746763,True
L,48,0.005,0.06,3.0,48h,L|48-0.005-0.06-3.0|48h,2180,55.93158216249237,2180,0.010318817067530467,0.00589464631000012,True
L,48,0.005,0.06,3.0,96h,L|48-0.005-0.06-3.0|96h,1727,44.309102015882715,1720,0.0091607653604267,0.01011297065404568,True
L,48,0.01,0.03,1.5,24h,L|48-0.01-0.03-1.5|24h,1922,49.31215638362859,1922,0.004874818485956919,0.00246235848624565,True
L,48,0.01,0.03,1.5,48h,L|48-0.01-0.03-1.5|48h,1602,41.10201588271228,1602,0.012670394769952303,0.006282468760036751,True
L,48,0.01,0.03,1.5,96h,L|48-0.01-0.03-1.5|96h,1293,33.174098961514964,1290,0.012726836559296063,0.011535186817409743,True
L,48,0.01,0.03,2.0,24h,L|48-0.01-0.03-2.0|24h,1781,45.69456322541234,1781,0.005066872113781698,0.0027776481004633522,True
L,48,0.01,0.03,2.0,48h,L|48-0.01-0.03-2.0|48h,1502,38.536346976175935,1502,0.013685280662762892,0.00673484933995897,True
L,48,0.01,0.03,2.0,96h,L|48-0.01-0.03-2.0|96h,1237,31.737324373854612,1234,0.01424886406435594,0.011646327667184058,True
L,48,0.01,0.03,3.0,24h,L|48-0.01-0.03-3.0|24h,1483,38.048869883934024,1483,0.006981440635047743,0.0032315813345776094,True
L,48,0.01,0.03,3.0,48h,L|48-0.01-0.03-3.0|48h,1289,33.071472205253514,1289,0.01627252154170221,0.007300820287036828,True
L,48,0.01,0.03,3.0,96h,L|48-0.01-0.03-3.0|96h,1086,27.86316432498473,1083,0.017336337284330434,0.012210431182255465,True
L,48,0.01,0.04,1.5,24h,L|48-0.01-0.04-1.5|24h,1977,50.723274282223585,1977,0.004946386248372357,0.0024408627586531262,True
L,48,0.01,0.04,1.5,48h,L|48-0.01-0.04-1.5|48h,1641,42.10262675626146,1641,0.012405276692227362,0.0065035926321108245,True
L,48,0.01,0.04,1.5,96h,L|48-0.01-0.04-1.5|96h,1318,33.815516188149054,1315,0.012235279686967436,0.011405478252738677,True
L,48,0.01,0.04,2.0,24h,L|48-0.01-0.04-2.0|24h,1839,47.182651191203426,1839,0.005494345660394976,0.002673804759941819,True
L,48,0.01,0.04,2.0,48h,L|48-0.01-0.04-2.0|48h,1540,39.51130116065975,1540,0.01412991018844475,0.006975656039274926,True
L,48,0.01,0.04,2.0,96h,L|48-0.01-0.04-2.0|96h,1264,32.430054978619424,1261,0.01380280173057536,0.011485680894963409,True
L,48,0.01,0.04,3.0,24h,L|48-0.01-0.04-3.0|24h,1548,39.71655467318265,1548,0.008110290033511332,0.0031620711827549186,True
L,48,0.01,0.04,3.0,48h,L|48-0.01-0.04-3.0|48h,1338,34.32864996945632,1338,0.016848995871077164,0.007553401753038964,True
L,48,0.01,0.04,3.0,96h,L|48-0.01-0.04-3.0|96h,1120,28.735491753207086,1117,0.01712533835296833,0.012191258703102718,True
L,48,0.01,0.06,1.5,24h,L|48-0.01-0.06-1.5|24h,2004,51.4160048869884,2004,0.004986376526166392,0.002286934089164198,True
L,48,0.01,0.06,1.5,48h,L|48-0.01-0.06-1.5|48h,1663,42.667073915699454,1663,0.011305035581711377,0.006702259489489579,True
L,48,0.01,0.06,1.5,96h,L|48-0.01-0.06-1.5|96h,1330,34.12339645693341,1326,0.012382969051147856,0.011039631215798392,True
L,48,0.01,0.06,2.0,24h,L|48-0.01-0.06-2.0|24h,1867,47.9010384850336,1867,0.005453488417541749,0.0025207846831334204,True
L,48,0.01,0.06,2.0,48h,L|48-0.01-0.06-2.0|48h,1564,40.12706169822847,1564,0.012773998444007431,0.007246727693678753,True
L,48,0.01,0.06,2.0,96h,L|48-0.01-0.06-2.0|96h,1276,32.73793524740379,1272,0.01398548938898949,0.011139256758912534,True
L,48,0.01,0.06,3.0,24h,L|48-0.01-0.06-3.0|24h,1578,40.486255345143555,1578,0.00814997782799543,0.003025437585244034,True
L,48,0.01,0.06,3.0,48h,L|48-0.01-0.06-3.0|48h,1366,35.0470372632865,1366,0.015321837686796467,0.007687355022554166,True
L,48,0.01,0.06,3.0,96h,L|48-0.01-0.06-3.0|96h,1138,29.19731215638363,1134,0.016945864398010387,0.011903653866610991,True
L,48,0.02,0.03,1.5,24h,L|48-0.02-0.03-1.5|24h,468,12.007330482590104,468,0.011613927060081235,0.004979336654653617,True
L,48,0.02,0.03,1.5,48h,L|48-0.02-0.03-1.5|48h,432,11.08368967623702,432,0.020188394572903022,0.010171212911381386,True
L,48,0.02,0.03,1.5,96h,L|48-0.02-0.03-1.5|96h,392,10.057422113622481,392,0.02182678448694908,0.014892656768538933,True
L,48,0.02,0.03,2.0,24h,L|48-0.02-0.03-2.0|24h,452,11.59682345754429,452,0.009061446323817219,0.004874014698855718,True
L,48,0.02,0.03,2.0,48h,L|48-0.02-0.03-2.0|48h,419,10.750152718387294,419,0.01761061211880013,0.0099847546097987,True
L,48,0.02,0.03,2.0,96h,L|48-0.02-0.03-2.0|96h,383,9.82651191203421,383,0.019128446943200386,0.013680173369957417,True
L,48,0.02,0.03,3.0,24h,L|48-0.02-0.03-3.0|24h,390,10.006108735491754,390,0.004684749898970633,0.0047507119497771895,True
L,48,0.02,0.03,3.0,48h,L|48-0.02-0.03-3.0|48h,364,9.339034819792303,364,0.014780269665974231,0.010158774884189776,True
L,48,0.02,0.03,3.0,96h,L|48-0.02-0.03-3.0|96h,339,8.697617593158217,339,0.015844352805408215,0.012800051490336754,True
L,48,0.02,0.04,1.5,24h,L|48-0.02-0.04-1.5|24h,597,15.317043372021992,597,0.012182649836691612,0.0047434922052958005,True
L,48,0.02,0.04,1.5,48h,L|48-0.02-0.04-1.5|48h,543,13.931582162492365,543,0.01861784976348469,0.009673743627518586,True
L,48,0.02,0.04,1.5,96h,L|48-0.02-0.04-1.5|96h,482,12.366524129505192,482,0.021562419595882707,0.014394611615237935,True
L,48,0.02,0.04,2.0,24h,L|48-0.02-0.04-2.0|24h,579,14.85522296884545,579,0.010375025259602412,0.004616523242110421,True
L,48,0.02,0.04,2.0,48h,L|48-0.02-0.04-2.0|48h,530,13.59804520464264,530,0.016558011485049637,0.009587982436337534,True
L,48,0.02,0.04,2.0,96h,L|48-0.02-0.04-2.0|96h,471,12.084300549786194,471,0.019575462722692963,0.013541123841069879,True
L,48,0.02,0.04,3.0,24h,L|48-0.02-0.04-3.0|24h,509,13.059254734270006,509,0.009731474204979402,0.0046898625339105255,True
L,48,0.02,0.04,3.0,48h,L|48-0.02-0.04-3.0|48h,473,12.135613927916921,473,0.01708188075957182,0.009827548371572256,True
L,48,0.02,0.04,3.0,96h,L|48-0.02-0.04-3.0|96h,428,10.981062919975566,428,0.020041443871264886,0.012816945249020759,True
L,48,0.02,0.06,1.5,24h,L|48-0.02-0.06-1.5|24h,660,16.93341478313989,660,0.010041877991548012,0.004188108946361887,True
L,48,0.02,0.06,1.5,48h,L|48-0.02-0.06-1.5|48h,599,15.368356750152719,599,0.012156292921125649,0.01115068708820235,True
L,48,0.02,0.06,1.5,96h,L|48-0.02-0.06-1.5|96h,524,13.444105070250458,523,0.019246493516676684,0.013514580219695253,True
L,48,0.02,0.06,2.0,24h,L|48-0.02-0.06-2.0|24h,643,16.49725106902871,643,0.008284822887933562,0.003994166304791471,True
L,48,0.02,0.06,2.0,48h,L|48-0.02-0.06-2.0|48h,587,15.060476481368358,587,0.010567437608686985,0.011016863855406487,True
L,48,0.02,0.06,2.0,96h,L|48-0.02-0.06-2.0|96h,515,13.213194868662187,514,0.016948160488861292,0.012905750973914222,True
L,48,0.02,0.06,3.0,24h,L|48-0.02-0.06-3.0|24h,574,14.726939523518633,574,0.007833241315312114,0.004208575430165573,True
L,48,0.02,0.06,3.0,48h,L|48-0.02-0.06-3.0|48h,534,13.700671960904094,534,0.009770799882732547,0.011145158048224392,True
L,48,0.02,0.06,3.0,96h,L|48-0.02-0.06-3.0|96h,478,12.26389737324374,477,0.015518961704671095,0.01247351414481382,True
L,96,0.005,0.03,1.5,24h,L|96-0.005-0.03-1.5|24h,2948,75.63591936469152,2948,0.0041432283935872475,0.0021546502140565417,True
L,96,0.005,0.03,1.5,48h,L|96-0.005-0.03-1.5|48h,2372,60.85766646304215,2372,0.009773274510284887,0.00546943617102389,True
L,96,0.005,0.03,1.5,96h,L|96-0.005-0.03-1.5|96h,1837,47.1313378130727,1832,0.008794141231127747,0.009771376215942183,True
L,96,0.005,0.03,2.0,24h,L|96-0.005-0.03-2.0|24h,2738,70.24801466096518,2738,0.004502853807738397,0.0022930155538592304,True
L,96,0.005,0.03,2.0,48h,L|96-0.005-0.03-2.0|48h,2232,57.26572999389127,2232,0.010494829650685248,0.0057597582909978,True
L,96,0.005,0.03,2.0,96h,L|96-0.005-0.03-2.0|96h,1755,45.02748930971289,1750,0.009634150042210844,0.009807636808389074,True
L,96,0.005,0.03,3.0,24h,L|96-0.005-0.03-3.0|24h,2284,58.599877825290164,2284,0.005249371353436763,0.002618498001945357,True
L,96,0.005,0.03,3.0,48h,L|96-0.005-0.03-3.0|48h,1920,49.26084300549786,1920,0.011480452489148262,0.006197959328411376,True
L,96,0.005,0.03,3.0,96h,L|96-0.005-0.03-3.0|96h,1559,39.99877825290165,1554,0.010447783943100345,0.01028574693934388,True
L,96,0.005,0.04,1.5,24h,L|96-0.005-0.04-1.5|24h,2977,76.37996334758705,2977,0.004359601228595085,0.0020667973232289744,True
L,96,0.005,0.04,1.5,48h,L|96-0.005-0.04-1.5|48h,2388,61.26817348808797,2388,0.010220629874733817,0.005537467888074855,True
L,96,0.005,0.04,1.5,96h,L|96-0.005-0.04-1.5|96h,1846,47.36224801466097,1841,0.008970315092749656,0.00980411804257643,True
L,96,0.005,0.04,2.0,24h,L|96-0.005-0.04-2.0|24h,2773,71.1459987782529,2773,0.004734850089023533,0.0021604069155043027,True
L,96,0.005,0.04,2.0,48h,L|96-0.005-0.04-2.0|48h,2251,57.75320708613317,2251,0.010859327781699516,0.005772265086158634,True
L,96,0.005,0.04,2.0,96h,L|96-0.005-0.04-2.0|96h,1766,45.30971288943189,1761,0.009831805157558049,0.009772504033093477,True
L,96,0.005,0.04,3.0,24h,L|96-0.005-0.04-3.0|24h,2320,59.52351863164325,2320,0.005954085351882288,0.002448671294194721,True
L,96,0.005,0.04,3.0,48h,L|96-0.005-0.04-3.0|48h,1944,49.87660354306659,1944,0.011869679369658355,0.006057252699715633,True
L,96,0.005,0.04,3.0,96h,L|96-0.005-0.04-3.0|96h,1578,40.486255345143555,1573,0.010564239802704784,0.010118259396327644,True
L,96,0.005,0.06,1.5,24h,L|96-0.005-0.06-1.5|24h,2995,76.8417837507636,2995,0.004395144714125688,0.0019787824190305075,True
L,96,0.005,0.06,1.5,48h,L|96-0.005-0.06-1.5|48h,2401,61.60171044593769,2401,0.00982115756962755,0.005346257171108538,True
L,96,0.005,0.06,1.5,96h,L|96-0.005-0.06-1.5|96h,1851,47.490531459987785,1845,0.009141914948193306,0.009719326702530397,True
L,96,0.005,0.06,2.0,24h,L|96-0.005-0.06-2.0|24h,2792,71.6334758704948,2792,0.0047840479081755665,0.002061376177792976,True
L,96,0.005,0.06,2.0,48h,L|96-0.005-0.06-2.0|48h,2264,58.0867440439829,2264,0.010476158635767696,0.005574181937746779,True
L,96,0.005,0.06,2.0,96h,L|96-0.005-0.06-2.0|96h,1771,45.43799633475871,1765,0.010172629088451828,0.009681906502549499,True
L,96,0.005,0.06,3.0,24h,L|96-0.005-0.06-3.0|24h,2343,60.11362248014661,2343,0.00590991010703619,0.0022305810976553523,True
L,96,0.005,0.06,3.0,48h,L|96-0.005-0.06-3.0|48h,1963,50.3640806353085,1963,0.011361637671590027,0.005743987647703548,True
L,96,0.005,0.06,3.0,96h,L|96-0.005-0.06-3.0|96h,1590,40.79413561392792,1584,0.010850993221275373,0.009988963523444345,True
L,96,0.01,0.03,1.5,24h,L|96-0.01-0.03-1.5|24h,1643,42.15394013439218,1643,0.005667205030569054,0.0029059806831476177,True
L,96,0.01,0.03,1.5,48h,L|96-0.01-0.03-1.5|48h,1409,36.150274893097134,1409,0.01430421206600519,0.007242107591023752,True
L,96,0.01,0.03,1.5,96h,L|96-0.01-0.03-1.5|96h,1175,30.146609651802077,1173,0.013797713180520983,0.011492380215805252,True
L,96,0.01,0.03,2.0,24h,L|96-0.01-0.03-2.0|24h,1538,39.45998778252902,1538,0.005659498888970995,0.0029765604992611377,True
L,96,0.01,0.03,2.0,48h,L|96-0.01-0.03-2.0|48h,1332,34.17470983506414,1332,0.014613686104085633,0.007586790258672512,True
L,96,0.01,0.03,2.0,96h,L|96-0.01-0.03-2.0|96h,1121,28.76114844227245,1119,0.01428090743769784,0.011784417239008783,True
L,96,0.01,0.03,3.0,24h,L|96-0.01-0.03-3.0|24h,1290,33.09712889431888,1290,0.007733840221582784,0.003354265098757805,True
L,96,0.01,0.03,3.0,48h,L|96-0.01-0.03-3.0|48h,1146,29.402565668906536,1146,0.01701754439882435,0.007954288655921193,True
L,96,0.01,0.03,3.0,96h,L|96-0.01-0.03-3.0|96h,986,25.29749541844838,984,0.016409861204156495,0.012433050457135712,True
L,96,0.01,0.04,1.5,24h,L|96-0.01-0.04-1.5|24h,1689,43.3341478313989,1689,0.006001621640824803,0.002775942097491731,True
L,96,0.01,0.04,1.5,48h,L|96-0.01-0.04-1.5|48h,1443,37.02260232131949,1443,0.014462328459464784,0.007341642528444164,True
L,96,0.01,0.04,1.5,96h,L|96-0.01-0.04-1.5|96h,1199,30.762370189370802,1197,0.01343972714301479,0.011457391189574484,True
L,96,0.01,0.04,2.0,24h,L|96-0.01-0.04-2.0|24h,1586,40.69150885766646,1586,0.006495699912888141,0.002810845199472071,True
L,96,0.01,0.04,2.0,48h,L|96-0.01-0.04-2.0|48h,1365,35.02138057422114,1365,0.015384341550936051,0.00772283489231349,True
L,96,0.01,0.04,2.0,96h,L|96-0.01-0.04-2.0|96h,1145,29.376908979841176,1143,0.015101745257853343,0.011804105642062072,True
L,96,0.01,0.04,3.0,24h,L|96-0.01-0.04-3.0|24h,1338,34.32864996945632,1338,0.009188458374224714,0.0031470315458970045,True
L,96,0.01,0.04,3.0,48h,L|96-0.01-0.04-3.0|48h,1184,30.37751985339035,1184,0.017593628444356926,0.00806201269063868,True
L,96,0.01,0.04,3.0,96h,L|96-0.01-0.04-3.0|96h,1017,26.09285277947465,1015,0.01652773254293723,0.012179082617157886,True
L,96,0.01,0.06,1.5,24h,L|96-0.01-0.06-1.5|24h,1721,44.155161881490535,1721,0.005751120972779755,0.0025735876592349093,True
L,96,0.01,0.06,1.5,48h,L|96-0.01-0.06-1.5|48h,1469,37.689676237018936,1469,0.013050236816779717,0.007267613864759196,True
L,96,0.01,0.06,1.5,96h,L|96-0.01-0.06-1.5|96h,1215,31.172877214416616,1212,0.013152408852184761,0.011177496193846718,True
L,96,0.01,0.06,2.0,24h,L|96-0.01-0.06-2.0|24h,1619,41.53817959682346,1619,0.0061239424147381885,0.0026316375268201275,True
L,96,0.01,0.06,2.0,48h,L|96-0.01-0.06-2.0|48h,1392,35.71411117898595,1392,0.013751744588876803,0.007737149722904423,True
L,96,0.01,0.06,2.0,96h,L|96-0.01-0.06-2.0|96h,1162,29.813072693952353,1159,0.014677764355821495,0.011559364846745935,True
L,96,0.01,0.06,3.0,24h,L|96-0.01-0.06-3.0|24h,1375,35.27794746487477,1375,0.00848796512776049,0.002766366667210904,True
L,96,0.01,0.06,3.0,48h,L|96-0.01-0.06-3.0|48h,1215,31.172877214416616,1215,0.015800117942811723,0.00799333274089527,True
L,96,0.01,0.06,3.0,96h,L|96-0.01-0.06-3.0|96h,1038,26.631643249847283,1035,0.0160618304514852,0.0119282445507501,True
L,96,0.02,0.03,1.5,24h,L|96-0.02-0.03-1.5|24h,394,10.108735491753208,394,0.013020864271354975,0.0061911927312370985,True
L,96,0.02,0.03,1.5,48h,L|96-0.02-0.03-1.5|48h,372,9.544288332315212,372,0.021855820614964955,0.012645505990305393,True
L,96,0.02,0.03,1.5,96h,L|96-0.02-0.03-1.5|96h,350,8.979841172877215,350,0.022496212858756772,0.015278710731143182,True
L,96,0.02,0.03,2.0,24h,L|96-0.02-0.03-2.0|24h,384,9.852168601099573,384,0.01094245106601341,0.006222670005833599,True
L,96,0.02,0.03,2.0,48h,L|96-0.02-0.03-2.0|48h,362,9.287721441661576,362,0.019997898985534692,0.01258868295820813,True
L,96,0.02,0.03,2.0,96h,L|96-0.02-0.03-2.0|96h,340,8.72327428222358,340,0.021438790028032905,0.014800086299713468,True
L,96,0.02,0.03,3.0,24h,L|96-0.02-0.03-3.0|24h,334,8.5693341478314,334,0.009808272994022404,0.00634150613879549,True
L,96,0.02,0.03,3.0,48h,L|96-0.02-0.03-3.0|48h,317,8.13317043372022,317,0.018237898732984568,0.013044521742846631,True
L,96,0.02,0.03,3.0,96h,L|96-0.02-0.03-3.0|96h,302,7.748320097739768,302,0.015420802500924287,0.015271457693413168,True
L,96,0.02,0.04,1.5,24h,L|96-0.02-0.04-1.5|24h,502,12.879657910812462,502,0.01573110835732004,0.005941387632577056,True
L,96,0.02,0.04,1.5,48h,L|96-0.02-0.04-1.5|48h,463,11.879047037263287,463,0.022216844621904257,0.012465984640049547,True
L,96,0.02,0.04,1.5,96h,L|96-0.02-0.04-1.5|96h,426,10.929749541844838,426,0.02409028544506989,0.015097504571786423,True
L,96,0.02,0.04,2.0,24h,L|96-0.02-0.04-2.0|24h,491,12.597434331093464,491,0.014704762560246519,0.0060536596124546324,True
L,96,0.02,0.04,2.0,48h,L|96-0.02-0.04-2.0|48h,454,11.648136835675016,454,0.021217756380001316,0.012586010917617555,True
L,96,0.02,0.04,2.0,96h,L|96-0.02-0.04-2.0|96h,418,10.72449602932193,418,0.02373227633567112,0.015026492526468078,True
L,96,0.02,0.04,3.0,24h,L|96-0.02-0.04-3.0|24h,433,11.109346365302383,433,0.015952492646046864,0.0063655181739980795,True
L,96,0.02,0.04,3.0,48h,L|96-0.02-0.04-3.0|48h,406,10.416615760537569,406,0.02237039017657322,0.012726859155143782,True
L,96,0.02,0.04,3.0,96h,L|96-0.02-0.04-3.0|96h,381,9.775198533903483,381,0.022582203318223283,0.014990844254483502,True
L,96,0.02,0.06,1.5,24h,L|96-0.02-0.06-1.5|24h,563,14.444715943799634,563,0.011931182040872108,0.005523515278600266,True
L,96,0.02,0.06,1.5,48h,L|96-0.02-0.06-1.5|48h,519,13.315821624923641,519,0.013751641273905425,0.013147797993113117,True
L,96,0.02,0.06,1.5,96h,L|96-0.02-0.06-1.5|96h,472,12.109957238851559,471,0.018492691595930668,0.014338844913274666,True
L,96,0.02,0.06,2.0,24h,L|96-0.02-0.06-2.0|24h,553,14.188149053145999,553,0.010970466079875967,0.005633495883434416,True
L,96,0.02,0.06,2.0,48h,L|96-0.02-0.06-2.0|48h,512,13.136224801466097,512,0.01305929218601238,0.013204679395353821,True
L,96,0.02,0.06,2.0,96h,L|96-0.02-0.06-2.0|96h,466,11.956017104459377,465,0.01771112504491881,0.014252744185184003,True
L,96,0.02,0.06,3.0,24h,L|96-0.02-0.06-3.0|24h,496,12.725717776420282,496,0.011845008314585964,0.005825746154395809,True
L,96,0.02,0.06,3.0,48h,L|96-0.02-0.06-3.0|48h,466,11.956017104459377,466,0.01317638386846305,0.013243007167611669,True
L,96,0.02,0.06,3.0,96h,L|96-0.02-0.06-3.0|96h,434,11.135003054367747,433,0.015300512472560366,0.013985231387341477,True
L,192,0.005,0.03,1.5,24h,L|192-0.005-0.03-1.5|24h,2345,60.16493585827734,2345,0.004763897725038608,0.002676507947237798,True
